Sl No	Question	Answer	Reference
23606	How are we like sheep?	We are like sheep because we have all gone astray; we have each turned to his own way. 	Isaiah 53:6-7
23607	What methods were used to condemn Yahweh's servant?	Coercion and judgment were the methods used to condemn him. 	Isaiah 53:8
23608	Had Yahweh's servant done anything wrong?	No. He had done no violence nor had there been any deceit in his mouth. 	Isaiah 53:9
23609	Why was it Yahweh's will to crush his servant?	It was Yahweh's will so that Yahweh's purpose might be accomplished through him. 	Isaiah 53:10-11
23610	Why will Yahweh give his servant his portion among the multitudes?	Yahweh will give his servant his portion because he poured out his soul to death and was numbered with the transgressors. He bore the sins of many and made intercession for the transgressions. 	Isaiah 53:12
23611	Why does Yahweh say the barren woman should sing?	He says she should sing, for the children of the desolate one are more than the children of the married woman. 	Isaiah 54:1-2
23612	What will the descendants of Zion do?	They will conquer nations and resettle desolate cities. 	Isaiah 54:3-4
23613	Who is Zion's husband?	Yahweh of Hosts, Zion's maker, is their husband. 	Isaiah 54:5-6
23614	What did Yahweh do to Israel?	He abandoned her for a short time. 	Isaiah 54:7-8
23615	What did Yahweh swear concerning Israel?	He swore he would no longer be angry with them or rebuke them. 	Isaiah 54:9
23616	What will not be shaken and what will not depart from Israel?	Yahweh's covenant of peace with Israel will not be shaken and his convenant faithfulness will not depart from Israel. 	Isaiah 54:10-13
23617	What will Israel no longer experience?	Israel will no longer experience persecution. 	Isaiah 54:14
23618	What will happen to anyone who stirs up trouble for Israel?	Anyone who stirs up trouble for Israel will fall in defeat. 	Isaiah 54:15-16
23619	What will happen to everyone who accuses Israel?	Israel will condemn them. 	Isaiah 54:17
23620	What are those who have no money told to buy?	They are told to buy wine and milk without money and without cost. 	Isaiah 55:1
23621	What are those who thirst told to eat?	They are told to eat what is good. 	Isaiah 55:2
23622	Who has Yahweh placed as a witness to the nations and a leader and commander to the peoples?	Yahweh has placed David in that position. 	Isaiah 55:3
23623	Who has Yahweh placed as a witness to the nations and a leader and commander to the peoples?	Yahweh has placed David in that position. 	Isaiah 55:4
23624	Why will a nation that did not know Israel run to them?	They will run to Israel because Yahweh their God, the Holy One of Israel has glorified them. 	Isaiah 55:5
23625	When should Israel seek and call upon Yahweh?	They should seek him while he may be found; call upon him while he is nearby. 	Isaiah 55:6
23626	What are the wicked and the man of sin to do?	Let the wicked leave his path, and the man of sin his thoughts. 	Isaiah 55:7
23627	Why are Yahweh's thoughts and ways not Israel's thoughts and ways?	This is so because as the heavens are higher than the earth so are Yahweh's ways higher than their ways and Yahweh's thought than Israel's thoughts. 	Isaiah 55:8
23628	Why are Yahweh's thoughts and ways not Israel's thoughts and ways?	This is so because as the heavens are higher than the earth so are Yahweh's ways higher than their ways and Yahweh's thought than Israel's thoughts. 	Isaiah 55:9-10
23629	What will happen to the words that go from Yahweh's mouth?	They will accomplish that which Yahweh wishes and it will succeed in that for which he sent it. 	Isaiah 55:11
23630	What is the everlasting sign that will not be cut off?	This is the sign: Israel will go out in joy and be led along peacefully. the mountains and the hills will break out in joyful shouts before them. All the trees of the fields will clap their hands. Instead of the thorn bushes, evergreens will grow and instead of the brier, the myrtle tree will grow. 	Isaiah 55:12
23631	What is the everlasting sign that will not be cut off?	This is the sign: Israel will go out in joy and be led along peacefully. the mountains and the hills will break out in joyful shouts before them. All the trees of the fields will clap their hands. Instead of the thorn bushes, evergreens will grow and instead of the brier, the myrtle tree will grow. 	Isaiah 55:13
23632	Why did Yahweh say to observe what is right and do what is just?	He said this because his deliverance is near and his vindication is about to be revealed. 	Isaiah 56:1
23633	Why did Yahweh say to observe what is right and do what is just?	He said this because his deliverance is near and his vindication is about to be revealed. 	Isaiah 56:2
23634	What shouldn the foreigner and eunuch who have become followers of Yahweh not say?	The foreigner should not say, "Yahweh will certainly exclude me from his people" and the eunuch should not say, "See, I am a dry tree." 	Isaiah 56:3
23635	What will Yahweh do for eunuchs who observe Yahweh's sabbaths, choose what pleases him, and hold fast Yahweh's covenant?	Yahweh will set up a monument doe him, in Yahweh's house and within his walls, that is better than of sons and of daughters. 	Isaiah 56:4
23636	What will Yahweh do for eunuchs who observe Yahweh's sabbaths, choose what pleases him, and hold fast Yahweh's covenant?	Yahweh will set up a monument doe him, in Yahweh's house and within his walls, that is better than of sons and of daughters. 	Isaiah 56:5
23637	What will Yahweh do for foreigners who join themselves to Yahweh to serve him, who worship him and love his name, who observe the sabbath and keeps from defiling it, and who hold fast Yahweh's covenant?	Yahweh will bring them to his holy mountain and make them joyful in his house of prayer; their burnt offerings and sacrifices will be accepted on Yahweh's altar. 	Isaiah 56:6
23638	What will Yahweh do for foreigners who join themselves to Yahweh to serve him, who worship him and love his name, who observe the sabbath and keeps from defiling it, and who hold fast Yahweh's covenant?	Yahweh will bring them to his holy mountain and make them joyful in his house of prayer; their burnt offerings and sacrifices will be accepted on Yahweh's altar. 	Isaiah 56:7-9
23639	Who is compared to a dumb dog?	Their watchmen are compared to dumb dogs. 	Isaiah 56:10
23640	What have their watchmen and shepherds done?	They have all turned to their own way, each one covetous for unjust gain. 	Isaiah 56:11-12
23641	What does no one consider or understand about the righteous when they perish?	They don't consider or understand that the righteous are gathered away from evil and enter into peace. 	Isaiah 57:1
23642	What does no one consider or understand about the righteous when they perish?	They don't consider or understand that the righteous are gathered away from evil and enter into peace. 	Isaiah 57:2
23643	Who is merrily mocking and opening the mouth and sticking out the tongue?	The sons of the sorceress, the children of the adulterer and the woman who has prostituted herself do these things. 	Isaiah 57:3
23644	Who is merrily mocking and opening the mouth and sticking out the tongue?	The sons of the sorceress, the children of the adulterer and the woman who has prostituted herself do these things. 	Isaiah 57:4
23645	What else did these who were called children of rebellion and children of deceit do?	They had sex under the oaks, under every green tree. They killed their children in the dry riverbeds, under the rocky overhangs. 	Isaiah 57:5
23646	What are the objects of their devotion?	Some of the smooth things of the river valley are the objects of their devotion. 	Isaiah 57:6-7
23647	What did these rebellious and deceitful ones do concerning Yahweh?	They deserted Yahweh. 	Isaiah 57:8-12
23648	What will Yahweh tell these wicked and rebellious ones when they cry out?	Yahweh will tell them to let their collection of idols deliver them. 	Isaiah 57:13-14
23649	Who will dwell with Yahweh in the exalted and holy place?	The ones who are of a crushed and humble spirit will dwell with Yahweh there. 	Isaiah 57:15
23650	What would happen if Yahweh accused man forever?	The man's spirit would faint before Yahweh. 	Isaiah 57:16
23651	Why was Yahweh angry with man?	Yahweh was angry with man because of his violent gain. 	Isaiah 57:17
23652	Even though Yahweh has seen man's ways, what is Yahweh going to do for man?	Yahweh said he would heal him. 	Isaiah 57:18
23653	Even though Yahweh has seen man's ways, what is Yahweh going to do for man?	Yahweh said he would heal him. 	Isaiah 57:19-20
23654	Who has no peace?	The wicked one has no peace. 	Isaiah 57:21
23655	What did Yahweh command the house of Jacob to be confronted with?	He commanded the house of Jacob to be confronted with their rebellion and sins. 	Isaiah 58:1
23656	How did the house of Jacob seek Yahweh?	They sought him like a nation that practiced righteousness and did not abandon the law of their God. 	Isaiah 58:2
